#FORMAT=WebAnno TSV 3.3


#Text=CAPITOLO PRIMO\r
#Text=\r
#Text=\r
#Text=La scorciatoia\r
#Text=\r
#Text=\r
#Text=\r
#Text=1\r
#Text=\r
#Text=Ero meravigliato di essere vivo, ma stanco di aspettare soccorsi.
1-1	0-8	CAPITOLO	
1-2	9-14	PRIMO	
1-3	20-22	La	
1-4	23-34	scorciatoia	
1-5	42-43	1	
1-6	47-50	Ero	
1-7	51-63	meravigliato	
1-8	64-66	di	
1-9	67-73	essere	
1-10	74-78	vivo	
1-11	78-79	,	
1-12	80-82	ma	
1-13	83-89	stanco	
1-14	90-92	di	
1-15	93-102	aspettare	
1-16	103-111	soccorsi	
1-17	111-112	.	

#Text=Stanco soprattutto degli alberi che crescevano lungo il burrone, dovunque ci fosse posto per un seme che capitasse a finirvi i suoi giorni.
2-1	113-119	Stanco	
2-2	120-131	soprattutto	
2-3	132-137	degli	
2-4	138-144	alberi	
2-5	145-148	che	
2-6	149-159	crescevano	
2-7	160-165	lungo	
2-8	166-168	il	
2-9	169-176	burrone	
2-10	176-177	,	
2-11	178-186	dovunque	
2-12	187-189	ci	
2-13	190-195	fosse	
2-14	196-201	posto	
2-15	202-205	per	
2-16	206-208	un	
2-17	209-213	seme	
2-18	214-217	che	
2-19	218-227	capitasse	
2-20	228-229	a	
2-21	230-237	finirvi	
2-22	238-239	i	
2-23	240-244	suoi	
2-24	245-251	giorni	
2-25	251-252	.	

#Text=Il caldo, quell’atmosfera morbida, che nemmeno la brezza del mattino riusciva a temperare, dava alle piante l’aspetto di animali impagliati.
3-1	253-255	Il	
3-2	256-261	caldo	
3-3	261-262	,	
3-4	263-268	quell	
3-5	268-269	’	
3-6	269-278	atmosfera	
3-7	279-286	morbida	
3-8	286-287	,	
3-9	288-291	che	
3-10	292-299	nemmeno	
3-11	300-302	la	
3-12	303-309	brezza	
3-13	310-313	del	
3-14	314-321	mattino	
3-15	322-330	riusciva	
3-16	331-332	a	
3-17	333-342	temperare	
3-18	342-343	,	
3-19	344-348	dava	
3-20	349-353	alle	
3-21	354-360	piante	
3-22	361-362	l	
3-23	362-363	’	
3-24	363-370	aspetto	
3-25	371-373	di	
3-26	374-381	animali	
3-27	382-392	impagliati	
3-28	392-393	.	

#Text=Da quando il camion s’era rovesciato, proprio alla curva della prima discesa, il dente aveva ripreso a dolermi, e ora un impulso che sentivo irresistibile (forse l’impazienza della nevralgia) mi spingeva a lasciare quel luogo.
4-1	397-399	Da	
4-2	400-406	quando	
4-3	407-409	il	
4-4	410-416	camion	
4-5	417-418	s	
4-6	418-419	’	
4-7	419-422	era	
4-8	423-433	rovesciato	
4-9	433-434	,	
4-10	435-442	proprio	
4-11	443-447	alla	
4-12	448-453	curva	
4-13	454-459	della	
4-14	460-465	prima	
4-15	466-473	discesa	
4-16	473-474	,	
4-17	475-477	il	
4-18	478-483	dente	
4-19	484-489	aveva	
4-20	490-497	ripreso	
4-21	498-499	a	
4-22	500-507	dolermi	
4-23	507-508	,	
4-24	509-510	e	
4-25	511-514	ora	
4-26	515-517	un	
4-27	518-525	impulso	
4-28	526-529	che	
4-29	530-537	sentivo	
4-30	538-551	irresistibile	
4-31	552-553	(	
4-32	553-558	forse	
4-33	559-560	l	
4-34	560-561	’	
4-35	561-571	impazienza	
4-36	572-577	della	
4-37	578-587	nevralgia	
4-38	587-588	)	
4-39	589-591	mi	
4-40	592-600	spingeva	
4-41	601-602	a	
4-42	603-611	lasciare	
4-43	612-616	quel	
4-44	617-622	luogo	
4-45	622-623	.	

#Text=«Io me ne vado» dissi alzandomi.
5-1	624-625	«	
5-2	625-627	Io	
5-3	628-630	me	
5-4	631-633	ne	
5-5	634-638	vado	
5-6	638-639	»	
5-7	640-645	dissi	
5-8	646-655	alzandomi	
5-9	655-656	.	

#Text=Il soldato che fumava soddisfatto, ormai pronto a dividere con me gli imprevisti della nuova avventura, si rabbuiò.
6-1	657-659	Il	
6-2	660-667	soldato	
6-3	668-671	che	
6-4	672-678	fumava	
6-5	679-690	soddisfatto	
6-6	690-691	,	
6-7	692-697	ormai	
6-8	698-704	pronto	
6-9	705-706	a	
6-10	707-715	dividere	
6-11	716-719	con	
6-12	720-722	me	
6-13	723-726	gli	
6-14	727-737	imprevisti	
6-15	738-743	della	
6-16	744-749	nuova	
6-17	750-759	avventura	
6-18	759-760	,	
6-19	761-763	si	
6-20	764-771	rabbuiò	
