rank,word,frequency,other_category_freq,distinctiveness_ratio,distinctiveness_level,exclusive,priority,distinctiveness_score
1,nudo,6,0,7.0,VERY_HIGH,EXCLUSIVE,100,42.0
2,altro,18,8,2.111111111111111,MODERATE,,50,38.0
3,chiaro,8,1,4.5,HIGH,,60,36.0
4,assurdo,5,0,6.0,VERY_HIGH,EXCLUSIVE,100,30.0
5,stesso,9,2,3.3333333333333335,HIGH,,60,30.0
6,bello,5,0,6.0,VERY_HIGH,EXCLUSIVE,100,30.0
7,unico,5,0,6.0,VERY_HIGH,EXCLUSIVE,100,30.0
8,pieno,7,1,4.0,HIGH,,60,28.0
9,buono,7,1,4.0,HIGH,,60,28.0
10,vecchio,12,5,2.1666666666666665,MODERATE,,50,26.0
11,primo,10,4,2.2,MODERATE,,50,22.0
12,lungo,8,3,2.25,MODERATE,,50,18.0
13,grande,6,2,2.3333333333333335,MODERATE,,50,14.0
14,profondo,6,2,2.3333333333333335,MODERATE,,50,14.0
15,meraviglioso,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
16,giusto,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
17,cupo,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
18,socchiuso,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
19,elementare,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
20,nuovo,9,7,1.25,LOW,,10,11.25
21,incapace,6,3,1.75,LOW,,10,10.5
22,inutile,6,3,1.75,LOW,,10,10.5
23,rapido,4,1,2.5,MODERATE,,50,10.0
24,improvviso,8,7,1.125,LOW,,10,9.0
25,felice,6,4,1.4,LOW,,10,8.399999999999999
26,alto,4,2,1.6666666666666667,LOW,,10,6.666666666666667
27,giovane,4,2,1.6666666666666667,LOW,,10,6.666666666666667
28,opportuno,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
29,scorso,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
30,fermo,3,1,2.0,MODERATE,,50,6.0
31,romantico,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
32,vivo,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
33,secco,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
34,misterioso,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
35,triste,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
36,odioso,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
37,diverso,3,1,2.0,MODERATE,,50,6.0
38,silenzioso,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
39,semplice,3,1,2.0,MODERATE,,50,6.0
40,severo,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
41,implacabile,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
42,ospitale,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
43,impensato,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
44,sopportabile,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
45,prezioso,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
46,grigio,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
47,fiducioso,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
48,colpevole,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
49,domestico,3,1,2.0,MODERATE,,50,6.0
50,caldo,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
51,vivace,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
52,immobile,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
53,subitaneo,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
54,incerto,3,1,2.0,MODERATE,,50,6.0
55,eccessivo,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
56,cristiano,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
57,possibile,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
58,paziente,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
59,sorridente,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
60,denso,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
61,splendido,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
62,capace,3,1,2.0,MODERATE,,50,6.0
63,indigeno,3,2,1.3333333333333333,LOW,,10,4.0
64,lieto,4,4,1.0,LOW,,10,4.0
65,breve,3,3,1.0,LOW,,10,3.0
66,difficile,2,1,1.5,LOW,,10,3.0
67,aperto,2,1,1.5,LOW,,10,3.0
68,grosso,3,3,1.0,LOW,,10,3.0
69,pessimo,2,1,1.5,LOW,,10,3.0
70,caro,2,1,1.5,LOW,,10,3.0
71,pesante,2,1,1.5,LOW,,10,3.0
72,degno,2,1,1.5,LOW,,10,3.0
73,col,2,1,1.5,LOW,,10,3.0
74,comune,2,1,1.5,LOW,,10,3.0
75,preoccupato,2,1,1.5,LOW,,10,3.0
76,insolito,2,1,1.5,LOW,,10,3.0
77,piccolo,2,1,1.5,LOW,,10,3.0
78,indolente,2,1,1.5,LOW,,10,3.0
79,estremo,2,1,1.5,LOW,,10,3.0
80,dolce,2,1,1.5,LOW,,10,3.0
