rank,word,frequency,other_category_freq,distinctiveness_ratio,distinctiveness_level,exclusive,priority,distinctiveness_score
1,capanna,15,0,16.0,VERY_HIGH,EXCLUSIVE,100,240.0
2,donna,33,7,4.25,HIGH,,60,140.25
3,mano,33,9,3.4,HIGH,,60,112.2
4,villaggio,10,0,11.0,VERY_HIGH,EXCLUSIVE,100,110.0
5,signore,9,0,10.0,VERY_HIGH,EXCLUSIVE,100,90.0
6,vecchio,9,0,10.0,VERY_HIGH,EXCLUSIVE,100,90.0
7,spiazzo,9,0,10.0,VERY_HIGH,EXCLUSIVE,100,90.0
8,tempo,21,5,3.6666666666666665,HIGH,,60,77.0
9,pelle,8,0,9.0,VERY_HIGH,EXCLUSIVE,100,72.0
10,albero,8,0,9.0,VERY_HIGH,EXCLUSIVE,100,72.0
11,occhio,28,11,2.4166666666666665,MODERATE,,50,67.66666666666666
12,curiosità,7,0,8.0,VERY_HIGH,EXCLUSIVE,100,56.0
13,presenza,10,1,5.5,VERY_HIGH,,70,55.0
14,boscaglia,6,0,7.0,VERY_HIGH,EXCLUSIVE,100,42.0
15,palo,6,0,7.0,VERY_HIGH,EXCLUSIVE,100,42.0
16,odore,6,0,7.0,VERY_HIGH,EXCLUSIVE,100,42.0
17,piede,6,0,7.0,VERY_HIGH,EXCLUSIVE,100,42.0
18,animale,6,0,7.0,VERY_HIGH,EXCLUSIVE,100,42.0
19,cosa,15,5,2.6666666666666665,MODERATE,,50,40.0
20,modo,11,3,3.0,HIGH,,60,33.0
21,bimbo,12,4,2.6,MODERATE,,50,31.200000000000003
22,attimo,5,0,6.0,VERY_HIGH,EXCLUSIVE,100,30.0
23,segno,5,0,6.0,VERY_HIGH,EXCLUSIVE,100,30.0
24,acqua,5,0,6.0,VERY_HIGH,EXCLUSIVE,100,30.0
25,turbante,5,0,6.0,VERY_HIGH,EXCLUSIVE,100,30.0
26,prete,5,0,6.0,VERY_HIGH,EXCLUSIVE,100,30.0
27,rifiuto,5,0,6.0,VERY_HIGH,EXCLUSIVE,100,30.0
28,coltello,5,0,6.0,VERY_HIGH,EXCLUSIVE,100,30.0
29,capo,5,0,6.0,VERY_HIGH,EXCLUSIVE,100,30.0
30,corpo,7,1,4.0,HIGH,,60,28.0
31,giorno,16,11,1.4166666666666667,LOW,,10,22.666666666666668
32,gesto,10,4,2.2,MODERATE,,50,22.0
33,colpo,6,1,3.5,HIGH,,60,21.0
34,braccio,4,0,5.0,VERY_HIGH,EXCLUSIVE,100,20.0
35,sapone,4,0,5.0,VERY_HIGH,EXCLUSIVE,100,20.0
36,luogo,4,0,5.0,VERY_HIGH,EXCLUSIVE,100,20.0
37,fastidio,4,0,5.0,VERY_HIGH,EXCLUSIVE,100,20.0
38,passo,4,0,5.0,VERY_HIGH,EXCLUSIVE,100,20.0
39,saggio,4,0,5.0,VERY_HIGH,EXCLUSIVE,100,20.0
40,diritto,4,0,5.0,VERY_HIGH,EXCLUSIVE,100,20.0
41,parente,4,0,5.0,VERY_HIGH,EXCLUSIVE,100,20.0
42,persona,7,2,2.6666666666666665,MODERATE,,50,18.666666666666664
43,pensiero,10,5,1.8333333333333333,LOW,,10,18.333333333333332
44,volto,10,5,1.8333333333333333,LOW,,10,18.333333333333332
45,terra,10,5,1.8333333333333333,LOW,,10,18.333333333333332
46,volta,13,9,1.4,LOW,,10,18.2
47,spalla,8,3,2.25,MODERATE,,50,18.0
48,sorriso,8,3,2.25,MODERATE,,50,18.0
49,uomo,15,13,1.1428571428571428,LOW,,10,17.142857142857142
50,ragazzo,11,7,1.5,LOW,,10,16.5
51,stanza,5,1,3.0,HIGH,,60,15.0
52,sorpresa,5,1,3.0,HIGH,,60,15.0
53,calma,5,1,3.0,HIGH,,60,15.0
54,altopiano,5,1,3.0,HIGH,,60,15.0
55,notte,8,4,1.8,LOW,,10,14.4
56,amico,6,2,2.3333333333333335,MODERATE,,50,14.0
57,fronte,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
58,giornata,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
59,novella,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
60,ascaro,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
61,bestia,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
62,cortile,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
63,soglia,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
64,strada,8,5,1.5,LOW,,10,12.0
65,bellezza,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
66,offerta,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
67,miraggio,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
68,cielo,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
69,testa,8,5,1.5,LOW,,10,12.0
70,giaciglio,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
71,metafisica,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
72,ramo,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
73,marinaio,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
74,pozza,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
75,mondo,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
76,polso,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
77,cittadina,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
78,volontà,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
