rank,word,frequency,other_category_freq,distinctiveness_ratio,distinctiveness_level,exclusive,priority,distinctiveness_score
1,lavare,11,0,12.0,VERY_HIGH,EXCLUSIVE,100,132.0
2,guardare,48,17,2.7222222222222223,MODERATE,,50,130.66666666666669
3,vedere,43,15,2.75,MODERATE,,50,118.25
4,andare,19,5,3.3333333333333335,HIGH,,60,63.333333333333336
5,lasciare,22,7,2.875,MODERATE,,50,63.25
6,fare,45,32,1.393939393939394,LOW,,10,62.727272727272734
7,dire,28,12,2.230769230769231,MODERATE,,50,62.46153846153847
8,muovere,7,0,8.0,VERY_HIGH,EXCLUSIVE,100,56.0
9,riconoscere,7,0,8.0,VERY_HIGH,EXCLUSIVE,100,56.0
10,sorridere,12,2,4.333333333333333,HIGH,,60,52.0
11,sapere,29,16,1.7647058823529411,LOW,,10,51.17647058823529
12,prendere,17,5,3.0,HIGH,,60,51.0
13,cominciare,9,1,5.0,VERY_HIGH,,70,45.0
14,seguire,11,2,4.0,HIGH,,60,44.0
15,capire,11,2,4.0,HIGH,,60,44.0
16,ammettere,6,0,7.0,VERY_HIGH,EXCLUSIVE,100,42.0
17,respingere,6,0,7.0,VERY_HIGH,EXCLUSIVE,100,42.0
18,indicare,6,0,7.0,VERY_HIGH,EXCLUSIVE,100,42.0
19,alzare,6,0,7.0,VERY_HIGH,EXCLUSIVE,100,42.0
20,chiedere,20,9,2.1,MODERATE,,50,42.0
21,avere,28,19,1.45,LOW,,10,40.6
22,sentire,25,16,1.5294117647058822,LOW,,10,38.23529411764706
23,rifiutare,8,1,4.5,HIGH,,60,36.0
24,offrire,8,1,4.5,HIGH,,60,36.0
25,tenere,11,3,3.0,HIGH,,60,33.0
26,ricordare,5,0,6.0,VERY_HIGH,EXCLUSIVE,100,30.0
27,desiderare,5,0,6.0,VERY_HIGH,EXCLUSIVE,100,30.0
28,accorrere,5,0,6.0,VERY_HIGH,EXCLUSIVE,100,30.0
29,considerare,9,2,3.3333333333333335,HIGH,,60,30.0
30,stare,11,4,2.4,MODERATE,,50,26.4
31,dimenticare,11,4,2.4,MODERATE,,50,26.4
32,restare,11,4,2.4,MODERATE,,50,26.4
33,credere,12,5,2.1666666666666665,MODERATE,,50,26.0
34,conoscere,8,2,3.0,HIGH,,60,24.0
35,dare,12,6,1.8571428571428572,LOW,,10,22.285714285714285
36,portare,10,4,2.2,MODERATE,,50,22.0
37,sedere,10,4,2.2,MODERATE,,50,22.0
38,rendere,6,1,3.5,HIGH,,60,21.0
39,riuscire,6,1,3.5,HIGH,,60,21.0
40,sospettare,6,1,3.5,HIGH,,60,21.0
41,nascondere,6,1,3.5,HIGH,,60,21.0
42,accorgere,6,1,3.5,HIGH,,60,21.0
43,gettare,4,0,5.0,VERY_HIGH,EXCLUSIVE,100,20.0
44,accompagnare,4,0,5.0,VERY_HIGH,EXCLUSIVE,100,20.0
45,acconciare,4,0,5.0,VERY_HIGH,EXCLUSIVE,100,20.0
46,ammirare,4,0,5.0,VERY_HIGH,EXCLUSIVE,100,20.0
47,tremare,4,0,5.0,VERY_HIGH,EXCLUSIVE,100,20.0
48,accennare,7,2,2.6666666666666665,MODERATE,,50,18.666666666666664
49,proseguire,7,2,2.6666666666666665,MODERATE,,50,18.666666666666664
50,aspettare,13,9,1.4,LOW,,10,18.2
51,vivere,8,3,2.25,MODERATE,,50,18.0
52,immaginare,8,3,2.25,MODERATE,,50,18.0
53,venire,11,7,1.5,LOW,,10,16.5
54,finire,5,1,3.0,HIGH,,60,15.0
55,meravigliare,5,1,3.0,HIGH,,60,15.0
56,immergere,5,1,3.0,HIGH,,60,15.0
57,sembrare,12,10,1.1818181818181819,LOW,,10,14.181818181818183
58,osservare,6,2,2.3333333333333335,MODERATE,,50,14.0
59,esprimere,6,2,2.3333333333333335,MODERATE,,50,14.0
60,parere,7,3,2.0,MODERATE,,50,14.0
61,apparire,6,2,2.3333333333333335,MODERATE,,50,14.0
62,servire,6,2,2.3333333333333335,MODERATE,,50,14.0
63,cadere,7,3,2.0,MODERATE,,50,14.0
64,fingere,7,3,2.0,MODERATE,,50,14.0
65,cercare,10,7,1.375,LOW,,10,13.75
66,sposare,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
67,tendere,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
68,levare,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
69,partire,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
70,abbassare,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
71,restituire,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
72,abitare,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
73,dimostrare,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
74,mandare,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
75,passare,8,5,1.5,LOW,,10,12.0
76,interrompere,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
77,colpire,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
78,allontanare,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
79,chinare,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
80,piacere,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
81,accostare,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
82,scuotere,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
83,spiegare,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
84,leggere,9,7,1.25,LOW,,10,11.25
85,pensare,12,13,0.9285714285714286,LOW,,10,11.142857142857142
86,valere,6,3,1.75,LOW,,10,10.5
87,mostrare,6,3,1.75,LOW,,10,10.5
88,riprendere,6,3,1.75,LOW,,10,10.5
89,mangiare,6,3,1.75,LOW,,10,10.5
90,ridere,6,3,1.75,LOW,,10,10.5
91,vestire,4,1,2.5,MODERATE,,50,10.0
92,fuggire,4,1,2.5,MODERATE,,50,10.0
93,essere,5,2,2.0,MODERATE,,50,10.0
94,togliere,4,1,2.5,MODERATE,,50,10.0
95,appoggiare,4,1,2.5,MODERATE,,50,10.0
96,capitare,4,1,2.5,MODERATE,,50,10.0
97,porre,5,2,2.0,MODERATE,,50,10.0
98,perdonare,4,1,2.5,MODERATE,,50,10.0
99,parlare,10,10,1.0,LOW,,10,10.0
100,temere,5,2,2.0,MODERATE,,50,10.0
