conqueror_rank,conqueror_word,conqueror_freq,conqueror_distinctiveness,conqueror_level,conqueror_exclusive,indigenous_rank,indigenous_word,indigenous_freq,indigenous_distinctiveness,indigenous_level,indigenous_exclusive
1,soldato,21,4.4,HIGH,,1,capanna,15,16.0,VERY_HIGH,EXCLUSIVE
2,dottore,8,9.0,VERY_HIGH,EXCLUSIVE,2,donna,33,4.2,HIGH,
3,generale,6,7.0,VERY_HIGH,EXCLUSIVE,3,mano,33,3.4,HIGH,
4,tenda,9,3.3,HIGH,,4,villaggio,10,11.0,VERY_HIGH,EXCLUSIVE
5,carabiniere,7,4.0,HIGH,,5,signore,9,10.0,VERY_HIGH,EXCLUSIVE
6,contrabbandiere,7,4.0,HIGH,,6,vecchio,9,10.0,VERY_HIGH,EXCLUSIVE
7,mese,6,3.5,HIGH,,7,spiazzo,9,10.0,VERY_HIGH,EXCLUSIVE
8,cura,4,5.0,VERY_HIGH,EXCLUSIVE,8,tempo,21,3.7,HIGH,
9,immaginazione,4,5.0,VERY_HIGH,EXCLUSIVE,9,pelle,8,9.0,VERY_HIGH,EXCLUSIVE
10,sigaro,4,5.0,VERY_HIGH,EXCLUSIVE,10,albero,8,9.0,VERY_HIGH,EXCLUSIVE
11,sergente,4,5.0,VERY_HIGH,EXCLUSIVE,11,occhio,28,2.4,MODERATE,
12,faccia,4,5.0,VERY_HIGH,EXCLUSIVE,12,curiosità,7,8.0,VERY_HIGH,EXCLUSIVE
13,aria,5,3.0,HIGH,,13,presenza,10,5.5,VERY_HIGH,
14,ritorno,5,3.0,HIGH,,14,boscaglia,6,7.0,VERY_HIGH,EXCLUSIVE
15,giovane,5,3.0,HIGH,,15,palo,6,7.0,VERY_HIGH,EXCLUSIVE
16,freno,3,4.0,HIGH,EXCLUSIVE,16,odore,6,7.0,VERY_HIGH,EXCLUSIVE
17,tappa,3,4.0,HIGH,EXCLUSIVE,17,piede,6,7.0,VERY_HIGH,EXCLUSIVE
18,sentiero,3,4.0,HIGH,EXCLUSIVE,18,animale,6,7.0,VERY_HIGH,EXCLUSIVE
19,libidina,3,4.0,HIGH,EXCLUSIVE,19,cosa,15,2.7,MODERATE,
20,denuncia,3,4.0,HIGH,EXCLUSIVE,20,modo,11,3.0,HIGH,
21,storia,3,4.0,HIGH,EXCLUSIVE,21,bimbo,12,2.6,MODERATE,
22,fortune,3,4.0,HIGH,EXCLUSIVE,22,attimo,5,6.0,VERY_HIGH,EXCLUSIVE
23,dialetto,3,4.0,HIGH,EXCLUSIVE,23,segno,5,6.0,VERY_HIGH,EXCLUSIVE
24,arma,3,4.0,HIGH,EXCLUSIVE,24,acqua,5,6.0,VERY_HIGH,EXCLUSIVE
25,berretto,3,4.0,HIGH,EXCLUSIVE,25,turbante,5,6.0,VERY_HIGH,EXCLUSIVE
26,tasca,3,4.0,HIGH,EXCLUSIVE,26,prete,5,6.0,VERY_HIGH,EXCLUSIVE
27,piroscafo,3,4.0,HIGH,EXCLUSIVE,27,rifiuto,5,6.0,VERY_HIGH,EXCLUSIVE
28,comando,3,4.0,HIGH,EXCLUSIVE,28,coltello,5,6.0,VERY_HIGH,EXCLUSIVE
29,argomento,3,4.0,HIGH,EXCLUSIVE,29,capo,5,6.0,VERY_HIGH,EXCLUSIVE
30,camion,3,4.0,HIGH,EXCLUSIVE,30,corpo,7,4.0,HIGH,
31,uomo,13,0.9,LOW,,31,giorno,16,1.4,LOW,
32,operaio,4,2.5,MODERATE,,32,gesto,10,2.2,MODERATE,
33,capitano,4,2.5,MODERATE,,33,colpo,6,3.5,HIGH,
34,sottotenente,5,2.0,MODERATE,,34,braccio,4,5.0,VERY_HIGH,EXCLUSIVE
35,giornale,5,2.0,MODERATE,,35,sapone,4,5.0,VERY_HIGH,EXCLUSIVE
36,giorno,11,0.7,LOW,,36,luogo,4,5.0,VERY_HIGH,EXCLUSIVE
37,voce,6,1.2,LOW,,37,fastidio,4,5.0,VERY_HIGH,EXCLUSIVE
38,casa,4,1.7,LOW,,38,passo,4,5.0,VERY_HIGH,EXCLUSIVE
39,speranza,4,1.7,LOW,,39,saggio,4,5.0,VERY_HIGH,EXCLUSIVE
40,volta,9,0.7,LOW,,40,diritto,4,5.0,VERY_HIGH,EXCLUSIVE
41,parola,7,0.9,LOW,,41,parente,4,5.0,VERY_HIGH,EXCLUSIVE
42,sfruttamento,2,3.0,HIGH,EXCLUSIVE,42,persona,7,2.7,MODERATE,
43,telefono,2,3.0,HIGH,EXCLUSIVE,43,pensiero,10,1.8,LOW,
44,conversazione,2,3.0,HIGH,EXCLUSIVE,44,volto,10,1.8,LOW,
45,intesa,2,3.0,HIGH,EXCLUSIVE,45,terra,10,1.8,LOW,
46,opinione,2,3.0,HIGH,EXCLUSIVE,46,volta,13,1.4,LOW,
47,morale,2,3.0,HIGH,EXCLUSIVE,47,spalla,8,2.2,MODERATE,
48,pagina,2,3.0,HIGH,EXCLUSIVE,48,sorriso,8,2.2,MODERATE,
49,ottimismo,2,3.0,HIGH,EXCLUSIVE,49,uomo,15,1.1,LOW,
50,occhiale,2,3.0,HIGH,EXCLUSIVE,50,ragazzo,11,1.5,LOW,
51,stanchezza,2,3.0,HIGH,EXCLUSIVE,51,stanza,5,3.0,HIGH,
52,complicazione,2,3.0,HIGH,EXCLUSIVE,52,sorpresa,5,3.0,HIGH,
53,visita,3,2.0,MODERATE,,53,calma,5,3.0,HIGH,
54,baffo,2,3.0,HIGH,EXCLUSIVE,54,altopiano,5,3.0,HIGH,
55,sospetto,2,3.0,HIGH,EXCLUSIVE,55,notte,8,1.8,LOW,
56,commedia,3,2.0,MODERATE,,56,amico,6,2.3,MODERATE,
57,peso,2,3.0,HIGH,EXCLUSIVE,57,fronte,3,4.0,HIGH,EXCLUSIVE
58,avventura,2,3.0,HIGH,EXCLUSIVE,58,giornata,3,4.0,HIGH,EXCLUSIVE
59,tendenza,2,3.0,HIGH,EXCLUSIVE,59,novella,3,4.0,HIGH,EXCLUSIVE
60,zaino,2,3.0,HIGH,EXCLUSIVE,60,ascaro,3,4.0,HIGH,EXCLUSIVE
61,macchina,3,2.0,MODERATE,,61,bestia,3,4.0,HIGH,EXCLUSIVE
62,furto,2,3.0,HIGH,EXCLUSIVE,62,cortile,3,4.0,HIGH,EXCLUSIVE
63,infermiere,2,3.0,HIGH,EXCLUSIVE,63,soglia,3,4.0,HIGH,EXCLUSIVE
64,portaritratto,2,3.0,HIGH,EXCLUSIVE,64,strada,8,1.5,LOW,
65,ritardo,2,3.0,HIGH,EXCLUSIVE,65,bellezza,3,4.0,HIGH,EXCLUSIVE
66,suono,2,3.0,HIGH,EXCLUSIVE,66,offerta,3,4.0,HIGH,EXCLUSIVE
67,moglie,2,3.0,HIGH,EXCLUSIVE,67,miraggio,3,4.0,HIGH,EXCLUSIVE
68,sigaretta,2,3.0,HIGH,EXCLUSIVE,68,cielo,3,4.0,HIGH,EXCLUSIVE
69,denaro,5,1.2,LOW,,69,testa,8,1.5,LOW,
70,cantiere,2,3.0,HIGH,EXCLUSIVE,70,giaciglio,3,4.0,HIGH,EXCLUSIVE
71,pretesto,2,3.0,HIGH,EXCLUSIVE,71,metafisica,3,4.0,HIGH,EXCLUSIVE
72,asciugamano,2,3.0,HIGH,EXCLUSIVE,72,ramo,3,4.0,HIGH,EXCLUSIVE
73,fortuna,2,3.0,HIGH,EXCLUSIVE,73,marinaio,3,4.0,HIGH,EXCLUSIVE
74,pietà,3,2.0,MODERATE,,74,pozza,3,4.0,HIGH,EXCLUSIVE
