conqueror_rank,conqueror_word,conqueror_freq,conqueror_distinctiveness,conqueror_level,conqueror_exclusive,indigenous_rank,indigenous_word,indigenous_freq,indigenous_distinctiveness,indigenous_level,indigenous_exclusive
1,fare,32,0.7,LOW,,1,lavare,11,12.0,VERY_HIGH,EXCLUSIVE
2,amare,6,3.5,HIGH,,2,guardare,48,2.7,MODERATE,
3,cantare,4,5.0,VERY_HIGH,EXCLUSIVE,3,vedere,43,2.8,MODERATE,
4,insegnare,4,5.0,VERY_HIGH,EXCLUSIVE,4,andare,19,3.3,HIGH,
5,mettere,12,1.6,LOW,,5,lasciare,22,2.9,MODERATE,
6,ripetere,7,2.7,MODERATE,,6,fare,45,1.4,LOW,
7,trovare,9,1.7,LOW,,7,dire,28,2.2,MODERATE,
8,convincere,5,3.0,HIGH,,8,muovere,7,8.0,VERY_HIGH,EXCLUSIVE
9,pensare,13,1.1,LOW,,9,riconoscere,7,8.0,VERY_HIGH,EXCLUSIVE
10,avere,19,0.7,LOW,,10,sorridere,12,4.3,HIGH,
11,consigliare,3,4.0,HIGH,EXCLUSIVE,11,sapere,29,1.8,LOW,
12,rammentare,3,4.0,HIGH,EXCLUSIVE,12,prendere,17,3.0,HIGH,
13,accumulare,3,4.0,HIGH,EXCLUSIVE,13,cominciare,9,5.0,VERY_HIGH,
14,partecipare,3,4.0,HIGH,EXCLUSIVE,14,seguire,11,4.0,HIGH,
15,rinunciare,3,4.0,HIGH,EXCLUSIVE,15,capire,11,4.0,HIGH,
16,indignare,3,4.0,HIGH,EXCLUSIVE,16,ammettere,6,7.0,VERY_HIGH,EXCLUSIVE
17,uccidere,7,1.6,LOW,,17,respingere,6,7.0,VERY_HIGH,EXCLUSIVE
18,sentire,16,0.7,LOW,,18,indicare,6,7.0,VERY_HIGH,EXCLUSIVE
19,annoiare,4,2.5,MODERATE,,19,alzare,6,7.0,VERY_HIGH,EXCLUSIVE
20,giudicare,4,2.5,MODERATE,,20,chiedere,20,2.1,MODERATE,
21,aggiungere,5,2.0,MODERATE,,21,avere,28,1.4,LOW,
22,tornare,4,2.5,MODERATE,,22,sentire,25,1.5,LOW,
23,trattenere,4,2.5,MODERATE,,23,rifiutare,8,4.5,HIGH,
24,raggiungere,5,2.0,MODERATE,,24,offrire,8,4.5,HIGH,
25,parlare,10,1.0,LOW,,25,tenere,11,3.0,HIGH,
26,imparare,4,2.5,MODERATE,,26,ricordare,5,6.0,VERY_HIGH,EXCLUSIVE
27,sapere,16,0.6,LOW,,27,desiderare,5,6.0,VERY_HIGH,EXCLUSIVE
28,sembrare,10,0.8,LOW,,28,accorrere,5,6.0,VERY_HIGH,EXCLUSIVE
29,trattare,5,1.5,LOW,,29,considerare,9,3.3,HIGH,
30,supporre,6,1.2,LOW,,30,stare,11,2.4,MODERATE,
31,odiare,4,1.7,LOW,,31,dimenticare,11,2.4,MODERATE,
32,aspettare,9,0.7,LOW,,32,restare,11,2.4,MODERATE,
33,guardare,17,0.4,LOW,,33,credere,12,2.2,MODERATE,
34,disporre,2,3.0,HIGH,EXCLUSIVE,34,conoscere,8,3.0,HIGH,
35,urlare,2,3.0,HIGH,EXCLUSIVE,35,dare,12,1.9,LOW,
36,guadagnare,2,3.0,HIGH,EXCLUSIVE,36,portare,10,2.2,MODERATE,
37,eseguire,2,3.0,HIGH,EXCLUSIVE,37,sedere,10,2.2,MODERATE,
38,toccare,2,3.0,HIGH,EXCLUSIVE,38,rendere,6,3.5,HIGH,
39,dividere,2,3.0,HIGH,EXCLUSIVE,39,riuscire,6,3.5,HIGH,
40,addormentare,2,3.0,HIGH,EXCLUSIVE,40,sospettare,6,3.5,HIGH,
41,rimanere,3,2.0,MODERATE,,41,nascondere,6,3.5,HIGH,
42,finsire,2,3.0,HIGH,EXCLUSIVE,42,accorgere,6,3.5,HIGH,
43,funzionare,3,2.0,MODERATE,,43,gettare,4,5.0,VERY_HIGH,EXCLUSIVE
44,invitare,2,3.0,HIGH,EXCLUSIVE,44,accompagnare,4,5.0,VERY_HIGH,EXCLUSIVE
45,seppellire,2,3.0,HIGH,EXCLUSIVE,45,acconciare,4,5.0,VERY_HIGH,EXCLUSIVE
46,obbligare,2,3.0,HIGH,EXCLUSIVE,46,ammirare,4,5.0,VERY_HIGH,EXCLUSIVE
47,mascherare,3,2.0,MODERATE,,47,tremare,4,5.0,VERY_HIGH,EXCLUSIVE
48,infondere,2,3.0,HIGH,EXCLUSIVE,48,accennare,7,2.7,MODERATE,
49,scherzare,3,2.0,MODERATE,,49,proseguire,7,2.7,MODERATE,
50,telefonare,2,3.0,HIGH,EXCLUSIVE,50,aspettare,13,1.4,LOW,
51,decidere,5,1.2,LOW,,51,vivere,8,2.2,MODERATE,
52,saltare,2,3.0,HIGH,EXCLUSIVE,52,immaginare,8,2.2,MODERATE,
53,rifare,2,3.0,HIGH,EXCLUSIVE,53,venire,11,1.5,LOW,
54,scrivere,2,3.0,HIGH,EXCLUSIVE,54,finire,5,3.0,HIGH,
55,ingannare,2,3.0,HIGH,EXCLUSIVE,55,meravigliare,5,3.0,HIGH,
56,illuminare,2,3.0,HIGH,EXCLUSIVE,56,immergere,5,3.0,HIGH,
57,medicare,2,3.0,HIGH,EXCLUSIVE,57,sembrare,12,1.2,LOW,
58,fumare,2,3.0,HIGH,EXCLUSIVE,58,osservare,6,2.3,MODERATE,
59,sfuggire,2,3.0,HIGH,EXCLUSIVE,59,esprimere,6,2.3,MODERATE,
