conqueror_rank,conqueror_word,conqueror_freq,conqueror_distinctiveness,conqueror_level,conqueror_exclusive,indigenous_rank,indigenous_word,indigenous_freq,indigenous_distinctiveness,indigenous_level,indigenous_exclusive
1,maggiore,12,4.3,HIGH,,1,nudo,6,7.0,VERY_HIGH,EXCLUSIVE
2,ultimo,6,2.3,MODERATE,,2,altro,18,2.1,MODERATE,
3,simpatico,3,4.0,HIGH,EXCLUSIVE,3,chiaro,8,4.5,HIGH,
4,giovanile,3,4.0,HIGH,EXCLUSIVE,4,assurdo,5,6.0,VERY_HIGH,EXCLUSIVE
5,vicino,3,4.0,HIGH,EXCLUSIVE,5,stesso,9,3.3,HIGH,
6,improvviso,7,0.9,LOW,,6,bello,5,6.0,VERY_HIGH,EXCLUSIVE
7,sciocco,2,3.0,HIGH,EXCLUSIVE,7,unico,5,6.0,VERY_HIGH,EXCLUSIVE
8,stanco,3,2.0,MODERATE,,8,pieno,7,4.0,HIGH,
9,scontento,2,3.0,HIGH,EXCLUSIVE,9,buono,7,4.0,HIGH,
10,guasto,2,3.0,HIGH,EXCLUSIVE,10,vecchio,12,2.2,MODERATE,
11,pratico,2,3.0,HIGH,EXCLUSIVE,11,primo,10,2.2,MODERATE,
12,cordiale,2,3.0,HIGH,EXCLUSIVE,12,lungo,8,2.2,MODERATE,
13,futuro,3,2.0,MODERATE,,13,grande,6,2.3,MODERATE,
14,ufficiale,2,3.0,HIGH,EXCLUSIVE,14,profondo,6,2.3,MODERATE,
15,largo,3,2.0,MODERATE,,15,meraviglioso,3,4.0,HIGH,EXCLUSIVE
16,pronto,2,3.0,HIGH,EXCLUSIVE,16,giusto,3,4.0,HIGH,EXCLUSIVE
17,nuovo,7,0.8,LOW,,17,cupo,3,4.0,HIGH,EXCLUSIVE
18,indifferente,3,1.3,LOW,,18,socchiuso,3,4.0,HIGH,EXCLUSIVE
19,solo,3,1.3,LOW,,19,elementare,3,4.0,HIGH,EXCLUSIVE
20,lieto,4,1.0,LOW,,20,nuovo,9,1.2,LOW,
21,altro,8,0.5,LOW,,21,incapace,6,1.8,LOW,
22,breve,3,1.0,LOW,,22,inutile,6,1.8,LOW,
23,grosso,3,1.0,LOW,,23,rapido,4,2.5,MODERATE,
24,seminudo,2,1.5,LOW,,24,improvviso,8,1.1,LOW,
25,timido,2,1.5,LOW,,25,felice,6,1.4,LOW,
26,soddisfatto,2,1.5,LOW,,26,alto,4,1.7,LOW,
27,simile,2,1.5,LOW,,27,giovane,4,1.7,LOW,
28,tardivo,2,1.5,LOW,,28,opportuno,2,3.0,HIGH,EXCLUSIVE
29,felice,4,0.7,LOW,,29,scorso,2,3.0,HIGH,EXCLUSIVE
30,vecchio,5,0.5,LOW,,30,fermo,3,2.0,MODERATE,
31,grave,2,1.0,LOW,,31,romantico,2,3.0,HIGH,EXCLUSIVE
32,basso,2,1.0,LOW,,32,vivo,2,3.0,HIGH,EXCLUSIVE
33,primo,4,0.5,LOW,,33,secco,2,3.0,HIGH,EXCLUSIVE
34,incapace,3,0.6,LOW,,34,misterioso,2,3.0,HIGH,EXCLUSIVE
35,inutile,3,0.6,LOW,,35,triste,2,3.0,HIGH,EXCLUSIVE
