rank,word,frequency,other_category_freq,distinctiveness_ratio,distinctiveness_level,exclusive,priority,distinctiveness_score
1,maggiore,12,2,4.333333333333333,HIGH,,60,52.0
2,ultimo,6,2,2.3333333333333335,MODERATE,,50,14.0
3,simpatico,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
4,giovanile,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
5,vicino,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
6,improvviso,7,8,0.8888888888888888,LOW,,10,6.222222222222221
7,sciocco,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
8,stanco,3,1,2.0,MODERATE,,50,6.0
9,scontento,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
10,guasto,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
11,pratico,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
12,cordiale,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
13,futuro,3,1,2.0,MODERATE,,50,6.0
14,ufficiale,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
15,largo,3,1,2.0,MODERATE,,50,6.0
16,pronto,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
17,nuovo,7,9,0.8,LOW,,10,5.6000000000000005
18,indifferente,3,2,1.3333333333333333,LOW,,10,4.0
19,solo,3,2,1.3333333333333333,LOW,,10,4.0
20,lieto,4,4,1.0,LOW,,10,4.0
21,altro,8,18,0.47368421052631576,LOW,,10,3.789473684210526
22,breve,3,3,1.0,LOW,,10,3.0
23,grosso,3,3,1.0,LOW,,10,3.0
24,seminudo,2,1,1.5,LOW,,10,3.0
25,timido,2,1,1.5,LOW,,10,3.0
26,soddisfatto,2,1,1.5,LOW,,10,3.0
27,simile,2,1,1.5,LOW,,10,3.0
28,tardivo,2,1,1.5,LOW,,10,3.0
29,felice,4,6,0.7142857142857143,LOW,,10,2.857142857142857
30,vecchio,5,12,0.46153846153846156,LOW,,10,2.307692307692308
31,grave,2,2,1.0,LOW,,10,2.0
32,basso,2,2,1.0,LOW,,10,2.0
33,primo,4,10,0.45454545454545453,LOW,,10,1.8181818181818181
34,incapace,3,6,0.5714285714285714,LOW,,10,1.7142857142857142
35,inutile,3,6,0.5714285714285714,LOW,,10,1.7142857142857142
36,indigeno,2,3,0.75,LOW,,10,1.5
37,lungo,3,8,0.4444444444444444,LOW,,10,1.3333333333333333
38,alto,2,4,0.6,LOW,,10,1.2
39,giovane,2,4,0.6,LOW,,10,1.2
40,vero,1,1,1.0,LOW,,10,1.0
41,calmo,1,1,1.0,LOW,,10,1.0
42,sicuro,1,1,1.0,LOW,,10,1.0
43,militare,1,1,1.0,LOW,,10,1.0
44,cattivo,1,1,1.0,LOW,,10,1.0
45,naturale,1,1,1.0,LOW,,10,1.0
46,allegro,1,1,1.0,LOW,,10,1.0
47,sincero,1,1,1.0,LOW,,10,1.0
48,piacevole,1,1,1.0,LOW,,10,1.0
49,lieve,1,1,1.0,LOW,,10,1.0
50,fisso,1,1,1.0,LOW,,10,1.0
51,necessario,1,1,1.0,LOW,,10,1.0
52,straordinario,1,1,1.0,LOW,,10,1.0
53,ingenuo,1,1,1.0,LOW,,10,1.0
54,pigro,1,1,1.0,LOW,,10,1.0
55,convinto,1,1,1.0,LOW,,10,1.0
56,inaspettato,1,1,1.0,LOW,,10,1.0
57,magnifico,1,1,1.0,LOW,,10,1.0
58,macabro,1,1,1.0,LOW,,10,1.0
59,avvezzo,1,1,1.0,LOW,,10,1.0
60,curioso,1,1,1.0,LOW,,10,1.0
61,secondo,1,1,1.0,LOW,,10,1.0
62,peggiore,1,1,1.0,LOW,,10,1.0
63,ricco,1,1,1.0,LOW,,10,1.0
64,rossiccio,1,1,1.0,LOW,,10,1.0
65,impaziente,1,1,1.0,LOW,,10,1.0
66,grande,2,6,0.42857142857142855,LOW,,10,0.8571428571428571
67,profondo,2,6,0.42857142857142855,LOW,,10,0.8571428571428571
68,difficile,1,2,0.6666666666666666,LOW,,10,0.6666666666666666
69,aperto,1,2,0.6666666666666666,LOW,,10,0.6666666666666666
70,pessimo,1,2,0.6666666666666666,LOW,,10,0.6666666666666666
71,caro,1,2,0.6666666666666666,LOW,,10,0.6666666666666666
72,pesante,1,2,0.6666666666666666,LOW,,10,0.6666666666666666
73,degno,1,2,0.6666666666666666,LOW,,10,0.6666666666666666
74,col,1,2,0.6666666666666666,LOW,,10,0.6666666666666666
75,comune,1,2,0.6666666666666666,LOW,,10,0.6666666666666666
76,preoccupato,1,2,0.6666666666666666,LOW,,10,0.6666666666666666
77,insolito,1,2,0.6666666666666666,LOW,,10,0.6666666666666666
78,piccolo,1,2,0.6666666666666666,LOW,,10,0.6666666666666666
79,indolente,1,2,0.6666666666666666,LOW,,10,0.6666666666666666
80,estremo,1,2,0.6666666666666666,LOW,,10,0.6666666666666666
