rank,word,frequency,other_category_freq,distinctiveness_ratio,distinctiveness_level,exclusive,priority,distinctiveness_score
1,soldato,21,4,4.4,HIGH,,60,92.4
2,dottore,8,0,9.0,VERY_HIGH,EXCLUSIVE,100,72.0
3,generale,6,0,7.0,VERY_HIGH,EXCLUSIVE,100,42.0
4,tenda,9,2,3.3333333333333335,HIGH,,60,30.0
5,carabiniere,7,1,4.0,HIGH,,60,28.0
6,contrabbandiere,7,1,4.0,HIGH,,60,28.0
7,mese,6,1,3.5,HIGH,,60,21.0
8,cura,4,0,5.0,VERY_HIGH,EXCLUSIVE,100,20.0
9,immaginazione,4,0,5.0,VERY_HIGH,EXCLUSIVE,100,20.0
10,sigaro,4,0,5.0,VERY_HIGH,EXCLUSIVE,100,20.0
11,sergente,4,0,5.0,VERY_HIGH,EXCLUSIVE,100,20.0
12,faccia,4,0,5.0,VERY_HIGH,EXCLUSIVE,100,20.0
13,aria,5,1,3.0,HIGH,,60,15.0
14,ritorno,5,1,3.0,HIGH,,60,15.0
15,giovane,5,1,3.0,HIGH,,60,15.0
16,freno,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
17,tappa,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
18,sentiero,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
19,libidina,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
20,denuncia,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
21,storia,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
22,fortune,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
23,dialetto,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
24,arma,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
25,berretto,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
26,tasca,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
27,piroscafo,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
28,comando,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
29,argomento,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
30,camion,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
31,uomo,13,15,0.875,LOW,,10,11.375
32,operaio,4,1,2.5,MODERATE,,50,10.0
33,capitano,4,1,2.5,MODERATE,,50,10.0
34,sottotenente,5,2,2.0,MODERATE,,50,10.0
35,giornale,5,2,2.0,MODERATE,,50,10.0
36,giorno,11,16,0.7058823529411765,LOW,,10,7.764705882352942
37,voce,6,5,1.1666666666666667,LOW,,10,7.0
38,casa,4,2,1.6666666666666667,LOW,,10,6.666666666666667
39,speranza,4,2,1.6666666666666667,LOW,,10,6.666666666666667
40,volta,9,13,0.7142857142857143,LOW,,10,6.428571428571429
41,parola,7,8,0.8888888888888888,LOW,,10,6.222222222222221
42,sfruttamento,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
43,telefono,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
44,conversazione,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
45,intesa,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
46,opinione,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
47,morale,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
48,pagina,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
49,ottimismo,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
50,occhiale,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
51,stanchezza,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
52,complicazione,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
53,visita,3,1,2.0,MODERATE,,50,6.0
54,baffo,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
55,sospetto,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
56,commedia,3,1,2.0,MODERATE,,50,6.0
57,peso,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
58,avventura,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
59,tendenza,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
60,zaino,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
61,macchina,3,1,2.0,MODERATE,,50,6.0
62,furto,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
63,infermiere,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
64,portaritratto,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
65,ritardo,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
66,suono,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
67,moglie,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
68,sigaretta,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
69,denaro,5,4,1.2,LOW,,10,6.0
70,cantiere,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
71,pretesto,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
72,asciugamano,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
73,fortuna,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
74,pietà,3,1,2.0,MODERATE,,50,6.0
75,fiducia,5,4,1.2,LOW,,10,6.0
76,branda,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
77,silenzio,3,1,2.0,MODERATE,,50,6.0
78,eleganza,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
79,calzone,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
80,azione,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
81,costa,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
82,occhiata,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
83,fratello,3,1,2.0,MODERATE,,50,6.0
84,amicizia,3,1,2.0,MODERATE,,50,6.0
85,frase,3,1,2.0,MODERATE,,50,6.0
86,schiena,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
87,oro,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
