rank,word,frequency,other_category_freq,distinctiveness_ratio,distinctiveness_level,exclusive,priority,distinctiveness_score
1,fare,32,45,0.717391304347826,LOW,,10,22.956521739130434
2,amare,6,1,3.5,HIGH,,60,21.0
3,cantare,4,0,5.0,VERY_HIGH,EXCLUSIVE,100,20.0
4,insegnare,4,0,5.0,VERY_HIGH,EXCLUSIVE,100,20.0
5,mettere,12,7,1.625,LOW,,10,19.5
6,ripetere,7,2,2.6666666666666665,MODERATE,,50,18.666666666666664
7,trovare,9,5,1.6666666666666667,LOW,,10,15.0
8,convincere,5,1,3.0,HIGH,,60,15.0
9,pensare,13,12,1.0769230769230769,LOW,,10,14.0
10,avere,19,28,0.6896551724137931,LOW,,10,13.10344827586207
11,consigliare,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
12,rammentare,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
13,accumulare,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
14,partecipare,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
15,rinunciare,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
16,indignare,3,0,4.0,HIGH,EXCLUSIVE,90,12.0
17,uccidere,7,4,1.6,LOW,,10,11.200000000000001
18,sentire,16,25,0.6538461538461539,LOW,,10,10.461538461538462
19,annoiare,4,1,2.5,MODERATE,,50,10.0
20,giudicare,4,1,2.5,MODERATE,,50,10.0
21,aggiungere,5,2,2.0,MODERATE,,50,10.0
22,tornare,4,1,2.5,MODERATE,,50,10.0
23,trattenere,4,1,2.5,MODERATE,,50,10.0
24,raggiungere,5,2,2.0,MODERATE,,50,10.0
25,parlare,10,10,1.0,LOW,,10,10.0
26,imparare,4,1,2.5,MODERATE,,50,10.0
27,sapere,16,29,0.5666666666666667,LOW,,10,9.066666666666666
28,sembrare,10,12,0.8461538461538461,LOW,,10,8.461538461538462
29,trattare,5,3,1.5,LOW,,10,7.5
30,supporre,6,5,1.1666666666666667,LOW,,10,7.0
31,odiare,4,2,1.6666666666666667,LOW,,10,6.666666666666667
32,aspettare,9,13,0.7142857142857143,LOW,,10,6.428571428571429
33,guardare,17,48,0.3673469387755102,LOW,,10,6.244897959183674
34,disporre,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
35,urlare,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
36,guadagnare,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
37,eseguire,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
38,toccare,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
39,dividere,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
40,addormentare,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
41,rimanere,3,1,2.0,MODERATE,,50,6.0
42,finsire,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
43,funzionare,3,1,2.0,MODERATE,,50,6.0
44,invitare,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
45,seppellire,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
46,obbligare,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
47,mascherare,3,1,2.0,MODERATE,,50,6.0
48,infondere,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
49,scherzare,3,1,2.0,MODERATE,,50,6.0
50,telefonare,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
51,decidere,5,4,1.2,LOW,,10,6.0
52,saltare,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
53,rifare,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
54,scrivere,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
55,ingannare,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
56,illuminare,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
57,medicare,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
58,fumare,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
59,sfuggire,2,0,3.0,HIGH,EXCLUSIVE,90,6.0
60,soddisfare,5,4,1.2,LOW,,10,6.0
61,leggere,7,9,0.8,LOW,,10,5.6000000000000005
62,vedere,15,43,0.36363636363636365,LOW,,10,5.454545454545455
63,dire,12,28,0.4482758620689655,LOW,,10,5.379310344827586
