segment_id,category,text,subjects,objects,passive_subjects,oblique_agents,active_verbs,passive_verbs,transitive_verbs,intransitive_verbs,agent_count,patient_count,passive_count
0,Indigenous,Gli indigeni sono piuttosto contrari alle comitive.,['indigeno'],[],[],[],[],[],[],[],1,0,0
1,Indigenous,"Seduto a terra, un abissino mi guardava: s ’ era appoggiato ad un macigno, si sorreggeva la testa sc","['abissino', 'testa']",['me'],['s'],[],"['guardare', 'sorreggere']",['appoggiare'],[],"['guardare', 'sorreggere']",2,2,1
2,Indigenous,"Era disteso, la mano immobile indicava il cielo.",['mano'],['cielo'],[],[],['indicare'],[],['indicare'],[],1,1,0
3,Indigenous,"Dietro di lui, un altro guerriero, steso bocconi, la testa poggiata sugli avambracci, in una calma s",['che'],"['boccone', 'parola', 'cielo']",[],[],['indicare'],[],['indicare'],[],1,3,0
4,Indigenous,Tra gli alberi c ’ era una donna che stava lavandosi.,['che'],[],[],[],['stare'],[],[],['stare'],1,0,0
5,Indigenous,"Era nuda e stava lavandosi a una delle pozze, accosciata come un buon animale domestico.",[],[],[],[],[],[],[],[],0,0,0
6,Indigenous,"La donna alzava le mani pigramente, portandosi l ’ acqua sul seno e lasciandovela cadere, sembrava p",['donna'],"['mano', 'acqua', 'la']",[],[],['alzare'],[],['alzare'],[],1,3,0
7,Indigenous,"Forse era là da molto tempo, decisa a lavarsi senza fretta, per il piacere di sentirsi scorrere l ’ ",['tempo'],['acqua'],[],[],['scorrere'],[],[],['scorrere'],1,1,0
8,Indigenous,Non si accorgeva della mia presenza e restai a guardarla,[],['la'],[],[],[],[],[],[],0,1,0
9,Indigenous,"Alzava le mani e lasciava cadere l ’ acqua, ripetendo il gesto con una melanconica monotonia.",[],"['mano', 'acqua', 'gesto']",[],[],[],[],[],[],0,3,0
10,Indigenous,Era il suo modo di divertirsi e forse di volersi bene.,[],[],[],[],[],[],[],[],0,0,0
11,Indigenous,"Il suo modo di lavarsi era differente: si strofinava come una massaia, quasi che il corpo non fosse ","['modo', 'corpo']",[],[],[],[],[],[],[],2,0,0
12,Indigenous,Era di pelle molto chiara,[],[],[],[],[],[],[],[],0,0,0
13,Indigenous,Per lavarsi la donna aveva raccolto i capelli in una specie di turbante bianco.,[],"['donna', 'capello']",[],[],[],[],[],[],0,2,0
14,Indigenous,"Quando si levò in piedi e prese a lavarsi il ventre e le gambe, mi accorsi che era molto giovane, si",['che'],['ventre'],[],[],['attribuire'],[],[],['attribuire'],1,1,0
15,Indigenous,"Vedevo la sua pelle chiara e splendida, animata da un sangue denso, “ un sangue avvezzo alla malinco",[],['pelle'],[],['sangue'],[],[],[],[],0,1,0
16,Indigenous,Forse lei non ne sapeva niente della sua bellezza,['lei'],['niente'],[],[],['sapere'],[],['sapere'],[],1,1,0
17,Indigenous,"E nessun uomo aveva ancora lottato per lei, questi uomini evitano la gelosia e danno alle cose il lo","['uomo', 'uomo']","['gelosia', 'valore']",[],[],"['lottare', 'evitare']",[],['evitare'],['lottare'],2,2,0
18,Indigenous,"Costretti a vivere in una natura abbastanza drammatica, il loro desiderio non si eccita nel dramma.",['desiderio'],[],[],[],['eccitare'],[],[],['eccitare'],1,0,0
19,Indigenous,"Quando mi scoprì tra le piante seguitò a lavarsi con calma, senza curarsi di me e forse non curandos",[],[],[],[],[],[],[],[],0,0,0
20,Indigenous,Guardava l ’ acqua scendere sulla pelle e questo le bastava.,['questo'],['acqua'],[],[],['bastare'],[],[],['bastare'],1,1,0
21,Indigenous,"I suoi pensieri, se ne aveva, si muovevano pigramente e non riguardavano la mia persona.",['pensiero'],['persona'],[],[],['muovere'],[],[],['muovere'],1,1,0
22,Indigenous,"La donna non supponeva che in quegli istanti la valle mi stava apparendo estremamente fittizia,","['donna', 'valle']",[],[],[],"['supporre', 'apparire']",[],[],"['supporre', 'apparire']",2,0,0
23,Indigenous,Non supponeva davvero che la desiderassi; oppure non si muoveva appunto perché rispettassi la sua ca,[],"['la', 'calma']",[],[],[],[],[],[],0,2,0
24,Indigenous,"Una donna che fugge attira l ’ inseguitore, anzi lo crea.","['donna', 'che']","['inseguitore', 'lo']",[],[],"['attirare', 'fuggire']",[],['attirare'],['fuggire'],2,2,0
25,Indigenous,"Istintivamente lei doveva pensare questo e perciò stava ferma, aspettando di vedermi proseguire.",['lei'],"['questo', 'mi']",[],[],['pensare'],[],['pensare'],[],1,2,0
26,Indigenous,O pensava che potevo dirglielo chiaramente.,[],[],[],[],[],[],[],[],0,0,0
27,Indigenous,"Ero un “ signore ”, potevo anche esprimere la mia volontà.",[],['volontà'],[],[],[],[],[],[],0,1,0
28,Indigenous,Se anzi mi fossi preso il fastidio di seguirla sino alla sua capanna e avessi detto: « Voglio sposar,['lei'],"['fastidio', 'la', 'la']",[],[],['seguire'],[],[],['seguire'],1,3,0
29,Indigenous,"E lei, per tutto il tempo pattuito, mi sarebbe rimasta fedele senza sforzo.",['lei'],[],[],[],['rimanere'],[],[],['rimanere'],1,0,0
30,Indigenous,"Tutto era positivo per lei, che prendessi a destra o a sinistra, di qua o di là.","['tutto', 'che']",[],[],[],['prendere'],[],[],['prendere'],2,0,0
31,Indigenous,"Si alzò, non curandosi del suo corpo nudo, mi venne vicino e tese il braccio oltre la mia spalla.",[],['braccio'],[],[],[],[],[],[],0,1,0
32,Indigenous,"Forse la mia mano aveva tremato, comunque lei era nella pozza e se le avessi chiesto di indicarmi qu","['mano', 'lei', 'fiume']",['località'],[],[],"['tremare', 'alzare']",[],[],"['tremare', 'alzare']",3,1,0
33,Indigenous,"Si agitava, adesso e non sapeva decidersi a chiedermelo.",[],['lo'],[],[],[],[],[],[],0,1,0
34,Indigenous,"Glielo gettai (ne avevo un altro), e lei si insaponò daccapo, ridendo e annusando il sapone; e anche","['glielo', 'lei', 'che']","['altro', 'sapone']",[],[],"['gettare', 'insaponare', 'appartenere']",[],[],"['gettare', 'insaponare', 'appartenere']",3,2,0
35,Indigenous,Cominciava a riconoscermi dei diritti.,[],[],[],[],[],[],[],[],0,0,0
36,Indigenous,"Forse perché l ’ uomo, quaggiù, considera le nostre macchine come enti soprannaturali che funzionano","['uomo', 'che']","['macchina', 'metafisica', 'bomba']",[],[],"['considerare', 'funzionare']",[],['considerare'],['funzionare'],2,3,0
37,Indigenous,"Ma il fiasco, il sapone, oh, queste cose sono fatte dagli uomini, Dio non c ’ entra, fatte dai “ sig",['Dio'],['superiorità'],"['fiasco', 'cosa']","['uomo', 'signore']",['entrare'],"['fare', 'fare']",[],['entrare'],1,3,2
38,Indigenous,"Mi chiesi come si poteva simulare a tal punto l ’ innocenza e pensai daccapo che era un miraggio, un",[],['innocenza'],[],[],[],[],[],[],0,1,0
39,Indigenous,"La realtà era diversa, la donna doveva già conoscere le frettolose esigenze dei soldati, o degli ope","['realtà', 'donna']",['esigenza'],[],[],['conoscere'],[],['conoscere'],[],2,1,0
40,Indigenous,"Lei mi sorrise riconoscente, perché le lasciavo quell ’ incomparabile sapone.",['lei'],['sapone'],[],[],['sorridere'],[],[],['sorridere'],1,1,0
41,Indigenous,"Lei forse conosceva tutti i segreti che io avevo rifiutato senza nemmeno approfondire, come una mise",['io'],"['segreto', 'che']",[],[],['rifiutare'],[],['rifiutare'],[],1,2,0
42,Indigenous,"La rimisi a sedere bruscamente, la stessa febbre di prima m ’ aveva ripreso; e lei mi respingeva con","['rimettere', 'febbre', 'lei', 'desiderio']","['lo', 'questione']",[],[],"['riprendere', 'riprendere', 'respingere', 'offendere']",[],['offendere'],"['riprendere', 'respingere']",4,2,0
43,Indigenous,"Respingeva le mie mani perché così Eva aveva respinto le mani di Adamo, in una boscaglia simile a qu",['Eva'],"['mano', 'mano']",[],[],['respingere'],[],['respingere'],[],1,2,0
44,Indigenous,"O forse per aumentare il valore dell ’ impresa, perché il respingere è una fase del gioco, o perché ",['respingere'],"['valore', 'paura']",[],[],[],[],[],[],1,2,0
45,Indigenous,"Non era certo la paura di essere violata, ma quella più profonda della schiava che cede al padrone.",['che'],[],[],[],['cedere'],[],[],['cedere'],1,0,0
46,Indigenous,Quel sapone dell ’ esercito … Non era soltanto timore che non la compensassi ?,['sapone'],['la'],[],[],[],[],[],[],1,1,0
47,Indigenous,"L ’ odio per i “ signori ” che avevano distrutto la sua capanna, ucciso il suo uomo ?",['che'],"['capanna', 'uomo']",[],[],['distruggere'],[],['distruggere'],[],1,2,0
48,Indigenous,Il timore di essere sorpresa là da qualche abitante del villaggio che mi aveva indicato ?,['che'],[],[],['abitante'],['indicare'],[],[],['indicare'],1,0,0
49,Indigenous,"Si difendeva cortesemente, senza crederci e, oso dire, pensando ad altro",[],[],[],[],[],[],[],[],0,0,0
50,Indigenous,E mi accorgevo che nella sua indolente difesa c ’ era anche la speranza di soccombere.,[],[],[],[],[],[],[],[],0,0,0
51,Indigenous,"Erano tristi animali, invecchiati in una terra senza uscita, erano grandi camminatori, grandi conosc",['animale'],[],[],[],[],[],[],[],1,0,0
52,Indigenous,"Nessuno di loro si faceva la barba ascoltando le prime notizie, né le loro colazioni erano rese più ",['nessuno'],"['barba', 'notizia']",['colazione'],['foglio'],['fare'],['rendere'],['fare'],[],1,3,1
53,Indigenous,Potevano vivere conoscendo soltanto cento parole.,[],['parola'],[],[],[],[],[],[],0,1,0
