Category_Type,Main_Category,Subcategory,Rank,Word,Count,Percentage,Total_Words_in_Category,Total_Segments
Main,Narrator,,1,che,54,4.2,1285,100
Main,Narrator,,2,e,44,3.42,1285,100
Main,Narrator,,3,non,37,2.88,1285,100
Main,Narrator,,4,era,18,1.4,1285,100
Main,Narrator,,5,ma,17,1.32,1285,100
Main,Narrator,,6,mi,17,1.32,1285,100
Main,Narrator,,7,l,16,1.25,1285,100
Main,Narrator,,8,più,14,1.09,1285,100
Main,Narrator,,9,quel,13,1.01,1285,100
Main,Narrator,,10,si,12,0.93,1285,100
Main,Narrator,,11,forse,9,0.7,1285,100
Main,Narrator,,12,soltanto,9,0.7,1285,100
Main,Narrator,,13,ho,8,0.62,1285,100
Main,Narrator,,14,quella,8,0.62,1285,100
Main,Narrator,,15,o,8,0.62,1285,100
Main,Narrator,,16,questo,8,0.62,1285,100
Main,Narrator,,17,questa,7,0.54,1285,100
Main,Narrator,,18,i,7,0.54,1285,100
Main,Narrator,,19,avrei,7,0.54,1285,100
Main,Narrator,,20,mai,7,0.54,1285,100
Main,Narrator,,21,troppo,7,0.54,1285,100
Main,Narrator,,22,dopo,7,0.54,1285,100
Main,Narrator,,23,quando,7,0.54,1285,100
Main,Narrator,,24,io,6,0.47,1285,100
Main,Narrator,,25,erano,6,0.47,1285,100
Main,Narrator,,26,già,6,0.47,1285,100
Main,Narrator,,27,mia,6,0.47,1285,100
Main,Narrator,,28,ora,6,0.47,1285,100
Main,Narrator,,29,lei,6,0.47,1285,100
Main,Narrator,,30,ero,6,0.47,1285,100
Main,Narrator,,31,ne,6,0.47,1285,100
Main,Narrator,,32,ti,6,0.47,1285,100
Main,Narrator,,33,tutte,6,0.47,1285,100
Main,Narrator,,34,è,5,0.39,1285,100
Main,Narrator,,35,me,5,0.39,1285,100
Main,Narrator,,36,così,5,0.39,1285,100
Main,Narrator,,37,tutto,5,0.39,1285,100
Main,Narrator,,38,ancora,5,0.39,1285,100
Main,Narrator,,39,donna,5,0.39,1285,100
Main,Narrator,,40,momento,5,0.39,1285,100
Main,Narrator,,41,anche,5,0.39,1285,100
Main,Narrator,,42,potevo,5,0.39,1285,100
Main,Narrator,,43,ogni,4,0.31,1285,100
Main,Narrator,,44,notte,4,0.31,1285,100
Main,Narrator,,45,come,4,0.31,1285,100
Main,Narrator,,46,avevo,4,0.31,1285,100
Main,Narrator,,47,suppongo,4,0.31,1285,100
Main,Narrator,,48,cosa,4,0.31,1285,100
Main,Narrator,,49,avrebbe,4,0.31,1285,100
Main,Narrator,,50,pensieri,4,0.31,1285,100
Main,Narrator,,51,sentivo,4,0.31,1285,100
Main,Narrator,,52,loro,4,0.31,1285,100
Main,Narrator,,53,qualcosa,4,0.31,1285,100
Main,Narrator,,54,forza,4,0.31,1285,100
Main,Narrator,,55,poi,4,0.31,1285,100
Main,Narrator,,56,ecco,4,0.31,1285,100
Main,Narrator,,57,sempre,4,0.31,1285,100
Main,Narrator,,58,dall,3,0.23,1285,100
Main,Narrator,,59,suo,3,0.23,1285,100
Main,Narrator,,60,ed,3,0.23,1285,100
Main,Narrator,,61,seppi,3,0.23,1285,100
Main,Narrator,,62,ci,3,0.23,1285,100
Main,Narrator,,63,prima,3,0.23,1285,100
Main,Narrator,,64,senza,3,0.23,1285,100
Main,Narrator,,65,parole,3,0.23,1285,100
Main,Narrator,,66,stava,3,0.23,1285,100
Main,Narrator,,67,miei,3,0.23,1285,100
Main,Narrator,,68,fu,3,0.23,1285,100
Main,Narrator,,69,altri,3,0.23,1285,100
Main,Narrator,,70,no,3,0.23,1285,100
Main,Narrator,,71,essere,3,0.23,1285,100
Main,Narrator,,72,tardi,3,0.23,1285,100
Main,Narrator,,73,sei,3,0.23,1285,100
Main,Narrator,,74,mariam,3,0.23,1285,100
Main,Narrator,,75,nome,3,0.23,1285,100
